scenario,n,algorithm,comps,assigns,timems
Random,50,Insertion,581,583,0.008200
Random,50,DoubleInsertion,591,569,0.008200
Random,50,MergeSort2,226,572,0.122100
Random,50,MergeSort3,274,384,0.100400
Random,50,HeapBinary,417,490,0.012400
Random,50,HeapTernary,412,366,0.010800
Random,50,Insertion,704,705,0.009300
Random,50,DoubleInsertion,719,696,0.009500
Random,50,MergeSort2,226,572,0.119800
Random,50,MergeSort3,271,384,0.099300
Random,50,HeapBinary,417,484,0.011900
Random,50,HeapTernary,411,352,0.010300
Random,50,Insertion,612,616,0.008200
Random,50,DoubleInsertion,628,607,0.008300
Random,50,MergeSort2,215,572,0.124600
Random,50,MergeSort3,267,384,0.097700
Random,50,HeapBinary,409,482,0.011900
Random,50,HeapTernary,420,366,0.010600
Random,50,Insertion,595,595,0.007900
Random,50,DoubleInsertion,607,583,0.008000
Random,50,MergeSort2,222,572,0.118900
Random,50,MergeSort3,263,384,0.097300
Random,50,HeapBinary,421,492,0.012200
Random,50,HeapTernary,414,364,0.010500
Random,50,Insertion,599,602,0.008100
Random,50,DoubleInsertion,617,595,0.008100
Random,50,MergeSort2,222,572,0.118800
Random,50,MergeSort3,261,384,0.097200
Random,50,HeapBinary,413,484,0.012000
Random,50,HeapTernary,416,374,0.011900
NearlySorted,50,Insertion,164,164,0.002600
NearlySorted,50,DoubleInsertion,186,162,0.002700
NearlySorted,50,MergeSort2,200,572,0.118300
NearlySorted,50,MergeSort3,216,384,0.096300
NearlySorted,50,HeapBinary,438,538,0.012700
NearlySorted,50,HeapTernary,443,390,0.011000
NearlySorted,50,Insertion,206,206,0.003100
NearlySorted,50,DoubleInsertion,226,202,0.003300
NearlySorted,50,MergeSort2,210,572,0.118300
NearlySorted,50,MergeSort3,219,384,0.096200
NearlySorted,50,HeapBinary,430,518,0.012600
NearlySorted,50,HeapTernary,438,394,0.011100
NearlySorted,50,Insertion,238,238,0.003300
NearlySorted,50,DoubleInsertion,257,233,0.003600
NearlySorted,50,MergeSort2,204,572,0.120500
NearlySorted,50,MergeSort3,236,384,0.096600
NearlySorted,50,HeapBinary,434,522,0.012800
NearlySorted,50,HeapTernary,445,394,0.011100
NearlySorted,50,Insertion,140,140,0.002200
NearlySorted,50,DoubleInsertion,162,138,0.002200
